"player_id","player_name","nickname","team_id","team_abbreviation","age","gp","w","l","w_pct","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","blka","pf","pfd","pts","plus_minus","nba_fantasy_pts","dd2","td3","wnba_fantasy_pts","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","fgm_rank","fga_rank","fg_pct_rank","fg3m_rank","fg3a_rank","fg3_pct_rank","ftm_rank","fta_rank","ft_pct_rank","oreb_rank","dreb_rank","reb_rank","ast_rank","tov_rank","stl_rank","blk_rank","blka_rank","pf_rank","pfd_rank","pts_rank","plus_minus_rank","nba_fantasy_pts_rank","dd2_rank","td3_rank","wnba_fantasy_pts_rank","team_count"
1642481,"Jamarion Sharp","Jamarion",1610612758,"SAC",24,2,2,0,1,10.8,1.5,1.5,1,0,0,0,0.5,1,0.5,1,1,2,0,0,0,1,0,2.5,1,3.5,4,8.9,0,0,7.5,41,3,83,1,103,79,110,1,85,104,85,58,53,59,31,85,78,99,106,84,14,73,27,67,91,36,92,7,1,101,1
1643070,"Jayden Nunn","Jayden",1610612759,"SAS",23,3,0,3,0,15,1.7,4.7,0.357,1,2.3,0.429,0.7,1,0.667,1,0.3,1.3,2,1.3,1.7,0.3,0.3,2,2.3,5.7,0.3,14.9,0,0,14,1,84,1,84,87,75,73,80,32,58,29,51,53,49,31,106,98,34,54,14,49,55,34,38,70,57,68,7,1,69,1
1642399,"Jesse Edwards","Jesse",1610612749,"MIL",26,2,1,1,0.5,12.6,3,4.5,0.667,1,1,1,1,2,0.5,1.5,1,2.5,0,1,0.5,2,1,0,2.5,8.5,2.5,18,0,0,17,41,40,29,50,98,46,74,10,32,84,1,32,24,59,20,85,69,99,56,58,5,14,106,30,50,45,51,7,1,53,1
1631219,"John Butler Jr.","John",1610612749,"MIL",23,3,1,2,0.333,19.1,1.3,4.3,0.308,0.7,3.3,0.2,1,1.3,0.75,0.7,1.3,2,0.3,0.7,1,2,0,2.7,3,5,-3.3,16.2,0,0,14,1,40,19,79,61,87,80,92,51,37,72,32,47,40,59,81,78,94,87,30,5,73,23,22,74,78,60,7,1,69,1
1642578,"John Ukomadu","John",1610612751,"BKN",24,2,1,1,0.5,20,1.5,5,0.3,0.5,1.5,0.333,0.5,0.5,1,1,2,3,0,3,0.5,1.5,0.5,3.5,1,4.5,-2.5,11.1,0,0,12,41,40,29,50,58,79,68,95,64,77,43,58,75,1,31,62,60,99,6,58,9,37,10,67,82,71,85,7,1,80,1
1631399,"Jon Elmore","Jon",1610612747,"LAL",30,2,1,1,0.5,17.5,0.5,3.5,0.143,0.5,3,0.167,0.5,0.5,1,0,0.5,0.5,4.5,1,1.5,0,0,0,1.5,2.5,-3.5,13.4,0,0,11,41,40,29,50,72,108,90,110,64,41,77,58,75,1,96,103,109,6,56,17,61,73,106,57,99,81,75,7,1,85,1
1642367,"Jonathan Mogbo","Jonathan",1610612758,"SAC",24,2,2,0,1,26.7,3.5,5.5,0.636,0,0.5,0,0,0.5,0,1.5,3,4.5,1.5,1,1,3,1,3.5,1,7,-11.5,25.7,0,0,21,41,3,83,1,13,41,62,16,85,96,85,84,75,84,20,36,30,52,56,30,1,14,10,67,56,111,19,7,1,36,1
27926,"KJ Adams","KJ",1710612744,"GWG",24,3,2,1,0.667,6.6,1,1.3,0.75,0,0,0,0.3,0.3,1,0.3,0.3,0.7,0,0.7,0,0.3,0.3,1,0.3,2.3,0.3,3.5,0,0,3.7,1,3,29,35,110,91,112,6,85,104,85,74,89,1,87,106,108,99,87,84,49,55,84,100,102,57,113,7,1,112,1
1642880,"Kam Jones","Kam",1610612749,"MIL",24,1,0,1,0,18,6,12,0.5,1,4,0.25,1,1,1,1,1,2,3,5,0,0,0,1,2,14,6,15.9,0,0,20,97,84,29,84,69,4,8,29,32,25,62,32,53,1,31,85,78,17,1,84,61,73,84,42,12,25,61,7,1,39,1
1631112,"Kendall Brown","Kendall",1610612748,"MIA",23,2,2,0,1,14.2,1,4.5,0.222,1,2,0.5,0,0,0,0.5,1,1.5,1.5,1.5,0.5,0,0.5,1,0,3,3,7.1,0,0,8,41,3,83,1,91,91,74,102,32,62,15,84,96,84,68,85,94,52,44,58,61,37,84,102,94,40,100,7,1,94,1
27924,"Kevin Miller Jr.","Kevin",1610612749,"MIL",23,2,1,1,0.5,17.4,1.5,9,0.167,0,1,0,0,0.5,0,0.5,4,4.5,3,1.5,1.5,0.5,1,1.5,1,3,1.5,17.4,0,0,14.5,41,40,29,50,74,79,26,107,85,84,85,84,75,84,68,20,30,17,44,17,35,14,71,67,94,48,54,7,1,67,1
1643545,"Keyshawn Hall","Keyshawn",1610612748,"MIA",23,2,1,1,0.5,15.4,2,4.5,0.444,0,0.5,0,0.5,1.5,0.333,1,2.5,3.5,0.5,2.5,0.5,0,1.5,2,2.5,5,3.5,9,0,0,10,41,40,29,50,82,62,74,52,85,96,85,58,35,75,31,50,51,88,15,58,61,7,34,30,74,39,91,7,1,89,1
1630184,"Kira Lewis Jr.","Kira",1610612749,"MIL",25,3,1,2,0.333,21.5,3.7,8,0.458,2,4.3,0.462,0.3,0.3,1,0.3,3.3,3.7,3,1,0.7,0,1,2,1.3,10,-7,19.9,0,0,20,1,40,19,79,44,37,37,49,13,21,26,74,89,1,87,32,46,17,56,51,61,14,34,61,41,93,42,7,1,39,1
1643225,"Kobe Stewart","Kobe",1610612749,"MIL",23,3,1,2,0.333,15.4,2.3,3.3,0.7,1,1.7,0.6,0.7,0.7,1,1.3,2,3.3,1,0.3,0.3,0,0,1,1.3,6.3,-2.3,12.5,0,0,12.3,1,40,19,79,83,58,93,9,32,74,9,51,68,1,25,62,56,65,100,70,61,73,84,61,65,70,81,7,1,79,1
27923,"Kuany Kuany","Kuany",1610612749,"MIL",26,1,0,1,0,15,1,3,0.333,0,0,0,0,1,0,1,1,2,0,1,2,0,0,1,2,2,-11,9.4,0,0,8,97,84,29,84,86,91,95,83,85,104,85,84,53,84,31,85,78,99,56,5,61,73,84,42,104,108,89,7,1,94,1
1643018,"LJ Cryer","LJ",1710612744,"GWG",24,2,2,0,1,20.1,4,8.5,0.471,2.5,6,0.417,0.5,0.5,1,0,1,1,3.5,1.5,0.5,0,0.5,2,0,11,12,17.5,0,0,19,41,3,83,1,56,26,32,46,8,10,31,58,75,1,96,85,100,14,44,58,61,37,34,102,33,9,53,7,1,46,1
1642950,"Lachlan Olbrich","Lachlan",1710612744,"GWG",22,3,2,1,0.667,18.7,5.3,7,0.762,0.7,0.7,1,1,3,0.333,2,3,5,3,1,0.3,0.3,0,3.3,4.3,13.3,8.3,24.8,0,0,23.3,1,3,29,35,64,8,49,5,51,95,1,32,12,75,12,36,24,17,56,70,49,73,15,8,18,20,23,7,1,25,1
1643650,"Lajae Jones","Lajae",1710612744,"GWG",22,3,2,1,0.667,18.6,1.3,6,0.222,0.3,2.3,0.143,0.3,1,0.333,1,2.7,3.7,2,0.3,0.3,0.3,0.3,1.3,2.3,3.7,7.7,12.7,0,0,11,1,3,29,35,66,87,56,102,82,58,81,74,53,75,31,47,46,34,100,70,49,55,81,38,90,21,79,7,1,85,1
1643210,"Luke Goode","Luke",1610612747,"LAL",23,2,2,0,1,17.5,2,4,0.5,2,3.5,0.571,0,0,0,1,0.5,1.5,1,0,0,0,0,2.5,0.5,6,10.5,9.3,0,0,10.5,41,3,83,1,71,62,82,29,13,33,12,84,96,84,31,103,94,65,106,84,61,73,27,94,67,12,90,7,1,88,1
1631247,"Luke Travers","Luke",1610612749,"MIL",24,2,1,1,0.5,17.4,1.5,6,0.25,0.5,2,0.25,0,0,0,1,3,4,2.5,1,0,0.5,0.5,0.5,0,3.5,0.5,12.6,0,0,11.5,41,40,29,50,73,79,56,97,64,62,62,84,96,84,31,36,36,29,56,84,35,37,102,102,91,54,80,7,1,82,1
1642502,"Malevy Leons","Malevy",1710612744,"GWG",26,2,2,0,1,22.1,4.5,7,0.643,0.5,1,0.5,0,0.5,0,2,4.5,6.5,2,1.5,1.5,0.5,0.5,1.5,1,9.5,19.5,24.8,0,0,22.5,41,3,83,1,36,21,49,14,64,84,15,84,75,84,12,16,9,34,44,17,35,37,71,67,46,1,24,7,1,30,1
1643576,"Maliq Brown","Maliq",1610612759,"SAS",22,3,0,3,0,22.6,2,4,0.5,0.7,2,0.333,0,0,0,1.3,2.3,3.7,0.7,1,1,0.7,0.3,2,1,4.7,-10,14.1,0,0,13,1,84,1,84,33,62,82,29,51,62,43,84,96,84,25,56,46,81,56,30,26,55,34,67,80,106,73,7,1,75,1
1641831,"Malique Lewis","Malique",1610612749,"MIL",21,2,1,1,0.5,21,2,5.5,0.364,0.5,3,0.167,1.5,1.5,1,2,2.5,4.5,2,2.5,1,1,1,2,1.5,7,-4,18.9,0,0,18,41,40,29,50,47,62,62,78,64,41,77,22,35,1,12,50,30,34,15,30,14,14,34,57,56,83,48,7,1,50,1
27903,"Marquel Sutton","Marquel",1610612758,"SAC",23,3,3,0,1,22.4,4,8,0.5,1.7,3.7,0.455,3,4,0.75,2.3,4,6.3,0.7,0.3,1,0.7,1,1.7,3,14,10.3,27.3,0,0,26,1,1,83,1,34,26,37,29,21,31,28,4,5,40,9,20,13,81,100,30,26,14,62,22,12,14,14,7,1,14,1
1642917,"Max Shulga","Max",1710612744,"GWG",24,1,0,1,0,25,1,4,0.25,0,3,0,2,3,0.667,0,1,1,4,2,1,0,0,2,7,6,-9,14.2,0,0,13,97,84,29,84,23,91,82,97,85,41,85,16,12,49,96,85,100,7,24,30,61,73,34,2,67,100,72,7,1,75,1
1641800,"Meechie Johnson","Meechie",1610612748,"MIA",23,1,1,0,1,16.3,2,3,0.667,1,2,0.5,0,1,0,0,2,2,6,0,0,0,0,3,1,5,18,16.4,0,0,14,97,40,83,1,79,62,95,10,32,62,15,84,53,84,96,62,78,1,106,84,61,73,16,67,74,2,59,7,1,69,1
1643414,"Mikel Brown Jr.","Mikel",1610612751,"BKN",20,1,1,0,1,19.1,4,11,0.364,2,5,0.4,0,1,0,0,1,1,4,2,0,0,2,1,1,10,3,15.2,0,0,17,97,40,83,1,61,26,14,78,13,14,34,84,53,84,96,85,100,7,24,84,61,3,84,67,41,40,67,7,1,53,1
1643709,"Miles Barnstable","Miles",1610612759,"SAS",22,2,0,2,0,3.9,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,3,-3.5,5,0,0,6,41,84,19,84,116,91,113,1,32,84,1,84,96,84,96,108,110,99,56,30,61,73,84,102,94,81,106,7,1,103,1
1642939,"Miles Kelly","Miles",1610612759,"SAS",23,2,0,2,0,21.7,4.5,9.5,0.474,1,3.5,0.286,0.5,0.5,1,0.5,1.5,2,1.5,2,1.5,0.5,0.5,3,0.5,11,-8.5,19.7,0,0,19.5,41,84,19,84,43,21,21,45,32,33,57,58,75,1,68,77,78,52,24,17,35,37,16,94,33,99,44,7,1,44,1
1643112,"Mitch Mascari","Mitch",1610612758,"SAC",25,3,3,0,1,13.7,0.7,3.7,0.182,0.7,3.3,0.2,0,0,0,0.3,1.3,1.7,0.7,1.3,0.3,0,0.3,1.7,0,2,4.3,4.7,0,0,5.7,1,1,83,1,96,107,89,106,51,37,72,84,96,84,87,81,91,81,54,70,61,55,62,102,104,35,107,7,1,104,1
1642066,"Myron Gardner","Myron",1610612748,"MIA",25,1,1,0,1,6.8,1,3,0.333,0,2,0,0,0,0,1,3,4,2,1,0,0,0,2,1,2,5,8.8,0,0,8,97,40,83,1,108,91,95,83,85,62,85,84,96,84,31,36,36,34,56,84,61,73,34,67,104,30,93,7,1,94,1
1643729,"Nate Kingz","Nate",1610612748,"MIA",23,1,1,0,1,12.2,1,4,0.25,1,4,0.25,1,1,1,1,0,1,1,1,1,0,0,0,1,5,15,9.7,0,0,10,97,40,83,1,99,91,82,97,32,25,62,32,53,1,31,108,100,65,56,30,61,73,106,67,74,5,88,7,1,89,1
1643592,"Nick Boyd","Nick",1810612744,"GWB",25,3,0,3,0,25.1,3.7,10,0.367,0.7,3.3,0.2,2,2.3,0.857,1,1.7,2.7,6,2.3,1.3,0,0.3,3.7,4.3,11.7,-6,25.5,1,0,23.7,1,84,1,84,21,37,17,77,51,37,72,16,22,34,31,74,66,1,21,26,61,55,8,8,29,91,20,1,1,24,1
1642363,"Nique Clifford","Nique",1610612758,"SAC",24,2,2,0,1,29.4,5,11.5,0.435,1,3.5,0.286,0.5,1,0.5,0.5,5,5.5,2.5,2,1,0,0.5,3,3.5,12,4,23.4,0,0,23,41,3,83,1,4,10,11,57,32,33,57,58,53,59,68,9,21,29,24,30,61,37,16,18,26,36,33,7,1,26,1
1643614,"Peter Suder","Peter",1610612747,"LAL",22,2,1,1,0.5,21.9,1.5,7.5,0.2,0.5,4,0.125,0.5,0.5,1,1,3,4,0.5,3,0,0,0,1.5,1,4.5,-9,7.1,0,0,9.5,41,40,29,50,39,79,46,104,64,25,82,58,75,1,31,36,36,88,6,84,61,73,71,67,82,100,100,7,1,91,1
1642930,"RJ Davis","RJ",1610612759,"SAS",24,3,0,3,0,23,4,10.7,0.375,1.7,5.7,0.294,1.3,2.7,0.5,0,2.3,2.3,2.7,1.7,0.3,0.3,0.7,2,3.3,11.7,1.3,18.8,0,0,19.7,1,84,1,84,30,26,16,72,21,13,56,27,17,59,96,56,72,27,36,70,49,30,34,20,29,50,49,7,1,43,1
1643153,"RJ Melendez","RJ",1610612759,"SAS",23,3,0,3,0,14.2,1,4,0.25,1,2.7,0.375,0.7,1.3,0.5,0.7,1.7,2.3,0.7,1.7,0.3,3,0.3,2,1.7,4.3,-3.3,16.5,0,0,15,1,84,1,84,92,91,82,97,32,53,42,51,47,59,59,74,72,81,36,70,1,55,34,54,84,78,58,7,1,61,1
1630612,"RJ Nembhard Jr.","RJ",1810612744,"GWB",27,3,0,3,0,25.4,4.7,9.7,0.483,0.7,3,0.222,3,3.7,0.818,0.3,2.7,3,2.7,3,0.7,0,1.7,2.3,4.7,15.3,-8.3,21.9,0,0,23,1,84,1,84,19,19,19,43,51,41,69,4,8,36,87,47,60,27,6,51,61,6,33,6,8,98,36,7,1,26,1
1643572,"Rafael Castro","Rafael",1610612749,"MIL",23,2,1,1,0.5,20.9,1.5,4.5,0.333,0,0.5,0,0,0.5,0,0,4,4,1,2,3.5,0.5,0.5,2,2,3,-6,19.3,0,0,16,41,40,29,50,48,79,74,83,85,96,85,84,75,84,96,20,36,65,24,1,35,37,34,42,94,91,46,7,1,56,1
27928,"Reese Dixon-Waters","Reese",1810612744,"GWB",24,3,0,3,0,18.4,2.7,7.7,0.348,1.7,4.3,0.385,0,0.3,0,1,2.3,3.3,0.3,1.7,0.3,0.7,0.7,1.7,1,7,-3.3,12.8,0,0,14.3,1,84,1,84,68,54,44,82,21,21,38,84,89,84,31,56,56,94,36,70,26,30,62,67,56,78,78,7,1,68,1
27898,"Robbie Avila","Robbie",1610612747,"LAL",22,1,1,0,1,13.8,1,6,0.167,0,2,0,0,0,0,0,1,1,2,1,0,0,1,1,1,2,-8,5.2,0,0,5,97,40,83,1,95,91,56,107,85,62,85,84,96,84,96,85,100,34,56,84,61,14,84,67,104,95,105,7,1,106,1
1643597,"Robert McCray V","Robert",1610612747,"LAL",23,2,1,1,0.5,10.3,0.5,5.5,0.091,0.5,3,0.167,0,0.5,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0.5,1.5,-9,4.5,0,0,4.5,41,40,29,50,104,108,62,112,64,41,77,84,75,84,68,103,100,88,96,84,35,37,102,94,112,100,108,7,1,109,1
1643553,"Ryan Conwell","Ryan",1610612748,"MIA",22,3,2,1,0.667,30.7,6,14.7,0.409,3,9.3,0.321,2.7,2.7,1,1,4,5,3.3,2.3,0.3,0,0.3,3.7,3.7,21,-1.3,30.7,0,0,33,1,3,29,35,1,4,2,66,4,2,54,10,17,1,31,20,24,16,21,70,61,55,8,16,3,66,8,7,1,5,1
1643121,"Steve Settle","Steve",1810612744,"GWB",25,3,0,3,0,14.8,2,4.3,0.462,0.7,2.7,0.25,0.3,0.7,0.5,0.7,2.7,3.3,0.7,0,0.7,0.7,0,1.7,1.3,5.3,-9.7,14.3,0,0,12.7,1,84,1,84,88,62,80,48,51,53,62,74,68,59,59,47,56,81,106,51,26,73,62,61,72,105,71,7,1,77,1
1643542,"Tarris Reed Jr.","Tarris",1610612759,"SAS",22,2,0,2,0,26.1,4.5,10,0.45,0,1,0,1.5,2,0.75,3.5,6,9.5,0.5,1.5,0,1,0.5,2,2,11,-2.5,24.7,1,0,23,41,84,19,84,15,21,17,51,85,84,85,22,24,40,2,3,2,88,44,84,14,37,34,42,33,71,25,1,1,26,1
1643621,"Tre Donaldson","Tre",1610612748,"MIA",22,3,2,1,0.667,23.9,3.7,7.7,0.478,0.7,2,0.333,0.7,1.3,0.5,1.3,2.3,3.7,4,2.3,1.7,0.3,0.3,2,1,9.3,-2,23.4,0,0,21.7,1,3,29,35,27,37,44,44,51,62,43,51,47,59,25,56,46,7,21,14,49,55,34,67,48,69,32,7,1,33,1
1643559,"Tre White","Tre",1610612748,"MIA",23,2,1,1,0.5,20,4,8,0.5,1.5,3,0.5,1,1,1,0.5,3.5,4,0,1,0,0.5,0,1,1,12,8.5,17.3,0,0,18.5,41,40,29,50,57,26,37,29,26,41,15,32,53,1,68,28,36,99,56,84,35,73,84,67,26,18,56,7,1,48,1
1631211,"Trevor Keels","Trevor",1610612748,"MIA",22,2,1,1,0.5,25.8,5,11.5,0.435,1.5,5,0.3,2.5,3,0.833,0.5,4,4.5,3,1.5,2,0,1.5,1,3.5,16,-3,30.4,0,0,29,41,40,29,50,17,10,11,57,26,14,55,11,12,35,68,20,30,17,44,5,61,7,84,18,6,75,9,7,1,9,1
1643548,"Tyler Bilodeau","Tyler",1610612751,"BKN",22,2,1,1,0.5,26.1,5,9,0.556,3.5,6,0.583,0,0.5,0,0.5,5,5.5,1,1,0,0.5,0.5,5,0.5,13.5,16,22.1,0,0,24.5,41,40,29,50,16,10,26,24,1,10,11,84,75,84,68,9,21,65,56,84,35,37,4,94,16,4,35,7,1,20,1
1642360,"Tyon Grant-Foster","Tyon",1610612759,"SAS",26,1,0,1,0,4.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,2,0,0,2,97,84,29,84,115,91,113,1,85,104,85,84,96,84,96,108,110,99,106,84,61,73,84,102,104,63,114,7,1,114,1
1642940,"Viktor Lakhin","Viktor",1610612758,"SAC",24,2,2,0,1,18.5,4,6.5,0.615,0.5,1.5,0.333,0.5,1.5,0.333,0.5,3.5,4,1.5,1,1.5,2,0.5,3.5,2.5,9.5,1.5,26.1,0,0,22.5,41,3,83,1,67,26,53,17,64,77,43,58,35,75,68,28,36,52,56,17,5,37,10,30,46,48,18,7,1,30,1
1642884,"Vladislav Goldin","Vladislav",1610612748,"MIA",25,2,1,1,0.5,28.6,3.5,7.5,0.467,0.5,1.5,0.333,1.5,3,0.5,2.5,4,6.5,1.5,3.5,0.5,3,0,5.5,5,10,5,27.1,0,0,25.5,41,40,29,50,6,41,46,47,64,77,43,22,12,59,7,20,9,52,3,58,1,73,1,5,41,30,15,7,1,17,1
1642965,"Wade Taylor","Wade",1810612744,"GWB",23,3,0,3,0,15.1,2.3,8.7,0.269,0.7,3.7,0.182,0.7,1,0.667,0.7,1,1.7,1.3,1.7,1,0.7,0.7,2,1.3,6.7,-8,14,0,0,13.7,1,84,1,84,85,58,30,96,51,31,76,51,53,49,59,85,91,62,36,30,26,30,34,61,62,95,74,7,1,74,1
1642954,"Will Richard","Will",1710612744,"GWG",23,2,2,0,1,22,4.5,8,0.563,2.5,5,0.5,0.5,1,0.5,1,2.5,3.5,2.5,1,2.5,0,1.5,1.5,1,12.5,17.5,27,0,0,26,41,3,83,1,38,21,37,23,8,14,15,58,53,59,31,50,51,29,56,3,61,7,71,67,24,3,16,7,1,14,1
1643044,"William Hickey","William",1610612747,"LAL",27,2,2,0,1,21.7,0.5,3.5,0.143,0.5,1,0.5,0.5,0.5,1,0.5,2,2.5,6,2,2,1,1,2,1,2.5,-2.5,21.5,0,0,17.5,41,3,83,1,42,108,90,110,64,84,15,58,75,1,68,62,69,1,24,5,14,14,34,67,99,71,38,7,1,52,1
27899,"William Kyle III","William",1610612747,"LAL",22,2,1,1,0.5,17.9,1.5,2,0.75,0,0,0,0.5,1.5,0.333,2,1,3,1,1.5,1.5,0,0,1.5,3,4,0.5,12.1,0,0,11,41,40,29,50,70,79,105,6,85,104,85,58,35,75,12,85,60,65,44,17,61,73,71,22,85,54,82,7,1,85,1
1642865,"Yaxel Lendeborg","Yaxel",1710612744,"GWG",23,2,2,0,1,22.8,5,8.5,0.588,3.5,4.5,0.778,1,2,0.5,1,5.5,6.5,4,3,1,1.5,1.5,1.5,2.5,15,15,33.3,0,0,34,41,3,83,1,31,10,32,21,1,19,6,32,24,59,31,6,9,7,6,30,9,7,71,30,9,5,4,7,1,4,1
1643113,"Zack Austin","Zack",1610612749,"MIL",24,3,1,2,0.333,20.3,4,9.7,0.414,1.3,3.3,0.4,1,1.3,0.75,1.7,1.7,3.3,0.7,0.7,0.3,1,0.3,1.7,2.3,11.3,-1,19.7,0,0,19.3,1,40,19,79,55,26,19,65,30,37,34,32,47,40,19,74,56,81,87,70,14,55,62,38,32,63,43,7,1,45,1
1643040,"Zakai Zeigler","Zakai",1610612759,"SAS",23,1,0,1,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,-1,5.5,0,0,5,97,84,29,84,114,114,115,114,85,104,85,84,96,84,96,108,110,17,24,30,61,73,84,102,114,63,103,7,1,106,1
1629015,"Zhaire Smith","Zhaire",1610612747,"LAL",27,2,1,1,0.5,17,2.5,5,0.5,1,2,0.5,1,2,0.5,0.5,1,1.5,1,0.5,1,0.5,0,3.5,3,7.5,-4,14.8,0,0,14,41,40,29,50,76,56,68,29,32,62,15,32,24,59,68,85,94,65,96,30,35,73,10,22,54,83,69,7,1,69,1
